70	1000000000000	1	1	1	1	1	1	1	1	1
76	1000000000000	1	1	1	1	1	1	1	1	1
72	1000000000000	1	1	161518081	61	1	1	-1023706047	32599	1
73	1000000000000	1	1	1	1	1	1	1	1	1
74	1000000000000	1	1	1	1	1	1	1	1	1
71	1000000000000	1	1	1	1	1	1	1	1	1
77	1000000000000	1	1	1	1	1	1	1	1	1
75	1000000000000	1	1	1	1	1	1	1	1	1
78	1000000000000	1	1	1	1	1	1	1	1	1
84	1000000000000	1	1	1	1	1	1	1	1	1
80	1000000000000	1	1	161518081	61	1	1	-1023706047	32599	1
81	1000000000000	1	1	1	1	1	1	1	1	1
82	1000000000000	1	1	1	1	1	1	1	1	1
79	1000000000000	1	1	1	1	1	1	1	1	1
85	1000000000000	1	1	1	1	1	1	1	1	1
83	1000000000000	1	1	1	1	1	1	1	1	1
86	1000000000000	1	1	1	1	1	1	1	1	1
92	1000000000000	1	1	1	1	1	1	1	1	1
88	1000000000000	1	1	161518081	61	1	1	-1023706047	32599	1
89	1000000000000	1	1	1	1	1	1	1	1	1
90	1000000000000	1	1	1	1	1	1	1	1	1
87	1000000000000	1	1	1	1	1	1	1	1	1
93	1000000000000	1	1	1	1	1	1	1	1	1
91	1000000000000	1	1	1	1	1	1	1	1	1
94	1000000000000	1	1	1	1	1	1	1	1	1
100	5077969	5	5	1	5	5	3	4	5	4
96	5396095	5	5	1	5	4	3	5	5	5
97	5396095	5	5	1	5	4	3	5	5	5
98	5396095	5	5	1	5	4	3	5	5	5
102	4969279	5	5	1	5	4	3	4	5	4
95	5504785	5	5	1	5	5	3	5	5	5
99	5077969	5	5	1	5	5	3	4	5	4
101	5077969	5	5	1	5	5	3	4	5	4
108	4809867	5	5	1	4	4	3	4	5	4
105	4882327	4	5	1	5	4	3	4	5	4
104	4969279	5	5	1	5	4	3	4	5	4
110	4701841	5	5	1	5	4	3	4	4	4
106	4882327	4	5	1	5	4	3	4	5	4
116	4533891	5	5	1	5	5	3	4	4	3
109	4701841	5	5	1	5	4	3	4	4	4
103	4969279	5	5	1	5	4	3	4	5	4
107	4812497	5	5	1	5	4	3	5	4	4
113	4614889	4	5	1	5	4	3	4	4	4
118	4455477	4	5	1	4	4	3	4	4	4
112	4614889	4	5	1	5	4	3	4	4	4
114	4614889	5	4	1	5	4	3	4	4	4
124	4215067	4	5	1	5	4	2	4	4	3
117	4527937	4	4	1	5	4	3	4	4	4
111	4701841	5	5	1	5	4	3	4	4	4
121	4302019	5	5	1	5	4	2	4	4	3
126	4141973	5	5	1	5	5	2	3	4	3
115	4542429	5	5	1	4	4	3	4	4	4
120	4302019	5	5	1	5	4	2	4	4	3
122	4302019	5	5	1	5	4	2	4	4	3
132	3946331	5	4	1	5	4	2	3	4	3
